Gene_Symbol,GLP1_log2FC,GLP1_padj,Berberine_log2FC,Berberine_padj
Aass,-1.020977115221366,3.700076423886793e-11,4.1130107449625175,3.2260893485274617e-42
Acpp,1.050311691097512,3.994013847611785e-08,4.066292650557122,0.0015307898808924
Tmem30b,0.6254353644148125,3.994013847611785e-08,6.180829280584474,8.474663508524419e-12
Pla2g15,0.3785595906354621,3.8386553512743225e-07,-1.441539656382133,0.0271096937601139
Bmp1,0.5405125476946016,3.8386553512743225e-07,-1.2555206994593302,0.0199506805336951
Gabrr2,-1.7858951248766493,1.5627573332743809e-06,-3.486598868791468,0.0042826357574629
Postn,1.0542142239839791,3.4732915417318902e-06,-1.251608466981919,0.0350625605059384
Peg10,-1.1173556873091304,8.00473830276205e-06,-3.062807265163388,0.0001960949339745
F730043M19Rik,-0.3657811394054385,8.300311897994716e-06,-1.9131588807566944,0.0015811891202379
Ubxn10,1.4801629091030013,1.4403631928073363e-05,4.488907976263888,0.0028447061286994
Gm47416,-0.8577029913121963,1.4574187387621058e-05,-2.2355929544639204,0.006542553199505
Asb4,0.8570668456972905,1.5765393783592596e-05,-2.6967048981555157,0.0017336099909224
Col3a1,1.134154674047059,4.20936117540186e-05,-2.3063028628965117,0.006542553199505
Syp,-0.6353860797153977,4.625320294924484e-05,-2.3162744433583926,5.035574108762754e-05
Serinc5,0.3056166044518877,5.298503158533341e-05,1.2972184467494785,0.0181487680690021
Gm36161,0.5278302127553772,7.132879567387422e-05,-2.346857046343702,0.0270207264136717
Plac8,0.6423768402271932,9.149698977800152e-05,3.065510736463622,0.0134875298061897
0610005C13Rik,-0.4350374775201253,0.0001104970256667,3.188075027523803,0.048013727443021
Sbds,-0.2712000191363963,0.0001282351730606,-0.6051957503308627,0.0288253073213509
Cast,0.1771517124503671,0.0001282351730606,-0.8987306723622239,0.0314696213173338
Brca1,0.7565318505294473,0.0002982320959704,-1.9472259375960448,0.0109184472135889
Rab11fip3,-0.1952416191827714,0.0003113932239224,1.125176143366012,5.572978698528678e-07
Arsg,0.346320216681409,0.0003113932239224,1.0966039288215848,0.0148006826905091
Mmp3,0.9411411559467882,0.0003342283958309,-2.208052897368188,0.0153350208769908
Gm21188,0.4425600173141141,0.0003807566977842,-2.0656293361046973,0.0410379833600488
Zfr2,-0.4360655280491892,0.0004495065657143,1.7569060353527537,0.0018946833486562
Gtpbp4,-0.1288446040706516,0.0006680317237237,-0.5516053508084088,0.0134113519365898
Fxyd3,0.5191323290782666,0.0006689452619252,5.645280878485963,0.0045051068773037
Ucp2,0.5668886684110587,0.0006950710916728,-0.8260732042237123,1.6921140424601556e-05
Tmem120b,-0.4831719465483269,0.0007452922654664,-1.6367546567699731,0.0045337493738279
Actr8,-0.1667317979095458,0.0008177341763149,0.4841695736458923,0.0436941965549703
Sptan1,-0.2503733132199847,0.0008226345781095,-1.113258491363476,0.0321330704375179
Zfp865,-0.1514510523592419,0.000869024831197,0.2989711696556205,0.00699764218892
Smarca1,0.5246039134811133,0.0009735001480878,2.472982357848476,0.0060646858544446
Crocc2,1.0620045786007768,0.0009793851275106,4.531987034267776,0.0026923422375684
Sfrp5,-0.8551622969462795,0.0009946707418372,-2.891696140481841,0.0030419157100302
Krt79,0.5964972325392051,0.0011440023774741,-3.086651242039973,7.833856810615043e-05
Fbn1,0.7768546427467858,0.0012178923641782,-2.2978405786404212,0.0063737382899128
Col1a2,0.9020422217733498,0.0012324812518865,-1.6474121370706292,0.0089066509224706
Fam167a,1.6565715588590164,0.0012324812518865,5.199312132372258,0.0031884281949998
Ovol1,-0.7692926865399644,0.0012960929765199,5.035449519851022,0.0048172932462887
Col5a2,0.6439489275820713,0.0013525438503275,-2.3049646095818996,0.0010253476847387
Sptbn1,-0.3717724608459808,0.0014319023329994,-1.5104670826522244,0.0414478934045223
Adamts2,0.2819766098902034,0.0015027024671426,-2.266352949304295,0.000716642074271
Col6a3,0.7578869117358312,0.0015463728105934,-1.5471251526044791,0.0238433658016277
Gprc5c,0.3154956798495364,0.0015463728105934,2.9437479805297526,1.3355300274951373e-05
Mrc1,0.4418951363455238,0.0015463728105934,-2.025984125061404,0.0434834507848817
Lama1,1.480326286452119,0.0015463728105934,6.055285385670368,1.0949327550380285e-07
Tmem184c,-0.1076578070553127,0.0016096452910376,-0.3385716496136247,0.0422974054764036
Neurl4,-0.1516246281984044,0.0018091062637934,0.318397764862271,0.0422595791827067
Ppp2r1b,-0.3820521141678566,0.0019343330383147,-0.8773423963053808,0.0017442284073966
Irs3,-0.6596431674756402,0.0019573897196433,-2.022886603100473,0.0341767781420224
Zfand3,-0.2607463568432009,0.0021005097676279,-0.6164917561418658,0.0275350437750292
Slc39a1,0.2001295499934819,0.0021608992071496,-0.7342415818329276,0.0002622857741396
Dclre1c,0.3165970460601375,0.0022174814663002,-1.1489593363804136,0.0434834507848817
Mgam,1.2627151319902103,0.0023102732690809,3.657243146168063,0.0061852300507985
Slc24a3,-0.3391240630963856,0.0024376273351518,-1.44717961303206,0.0407013797385043
Cdc42ep3,-0.5661844084856994,0.0024377123875141,-1.171380446058624,0.0332379163013974
Loxl2,0.7191078435240423,0.0029077849848682,-1.9178590903252672,0.0039984049665855
Maml2,-0.3040534607306585,0.0029544918603069,-0.8802139925793051,0.0332166538168339
1700001O22Rik,-0.7699676524691054,0.0033355284723107,3.396450027032481,0.0051767856561045
Ehd1,0.3351728667242337,0.0033355284723107,-1.3062581345641744,0.0118571397504153
Pltp,0.4117893223219541,0.0035744181864841,-2.2950154222873604,0.0038882026876194
