"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP","WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP","4/49","269/17706",0.0148698884758364,5.37318868067673,3.80737819723599,0.00645741933062795,0.220124734645761,0.198569977202507,"Tmem30b/Plac8/Fxyd3/Cxxc5",4
"MCBRYAN_PUBERTAL_BREAST_4_5WK_UP","MCBRYAN_PUBERTAL_BREAST_4_5WK_UP","4/49","270/17706",0.0148148148148148,5.35328798185941,3.79719934101136,0.00654135331574619,0.220124734645761,0.198569977202507,"Tmem30b/Plac8/Fxyd3/Hebp2",4
"VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN","VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN","3/49","141/17706",0.0212765957446809,7.68823273990447,4.20033959015605,0.00697039745130634,0.220124734645761,0.198569977202507,"Fxyd3/Wnk4/Cldn23",3
"REACTOME_KIDNEY_DEVELOPMENT","REACTOME_KIDNEY_DEVELOPMENT","2/49","46/17706",0.0434782608695652,15.7107364685004,5.26266261657093,0.00718527247688876,0.220124734645761,0.198569977202507,"Plac8/Emx2",2
"SABATES_COLORECTAL_ADENOMA_DN","SABATES_COLORECTAL_ADENOMA_DN","4/49","281/17706",0.0142348754448399,5.14372866584356,3.68846463155476,0.00751299939852877,0.220124734645761,0.198569977202507,"Lama1/Usp2/Setbp1/Cldn23",4
"KAAB_FAILED_HEART_ATRIUM_DN","KAAB_FAILED_HEART_ATRIUM_DN","3/49","150/17706",0.02,7.2269387755102,4.03454892367662,0.00825864137650872,0.220124734645761,0.198569977202507,"Smarca1/Usp2/Tm9sf1",3
"WANG_MLL_TARGETS","WANG_MLL_TARGETS","4/49","290/17706",0.0137931034482759,4.98409570724842,3.60364582277655,0.00837559071719474,0.220124734645761,0.198569977202507,"Plac8/Lama1/Wnk4/Clip4",4
"WP_8P231_COPY_NUMBER_VARIATION_SYNDROME","WP_8P231_COPY_NUMBER_VARIATION_SYNDROME","2/49","50/17706",0.04,14.4538775510204,5.01849920660702,0.0084447582185153,0.220124734645761,0.198569977202507,"Fam167a/Cldn23",2
"BOYLAN_MULTIPLE_MYELOMA_C_D_DN","BOYLAN_MULTIPLE_MYELOMA_C_D_DN","4/49","293/17706",0.0136518771331058,4.93306401058717,3.57614872395865,0.00867699366998435,0.220124734645761,0.198569977202507,"Arsg/Mgam/Arl4c/Slc41a2",4
"KOHOUTEK_CCNT1_TARGETS","KOHOUTEK_CCNT1_TARGETS","2/49","51/17706",0.0392156862745098,14.1704681872749,4.96180837492653,0.00877402224848286,0.220124734645761,0.198569977202507,"Arl4c/Fam102a",2
"WENG_POR_TARGETS_LIVER_UP","WENG_POR_TARGETS_LIVER_UP","2/49","51/17706",0.0392156862745098,14.1704681872749,4.96180837492653,0.00877402224848286,0.220124734645761,0.198569977202507,"Slco1a5/Sqle",2
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5","CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5","5/49","472/17706",0.010593220338983,3.827827741266,3.28033692576733,0.0095836512103853,0.23325740858868,0.210416691156075,"Arl4c/Hacd3/Nebl/Hebp2/Slc41a2",5
"LIU_CMYB_TARGETS_UP","LIU_CMYB_TARGETS_UP","3/49","160/17706",0.01875,6.77525510204082,3.86571336068041,0.00984439239061251,0.23325740858868,0.210416691156075,"Tmem30b/Serinc5/Arl4c",3
